start,end,n_hours,drop_mm,slope_median
2025-06-29 08:00:00,2025-06-29 14:00:00,7,3.018,-0.545
2025-07-16 00:00:00,2025-07-16 11:00:00,12,3.494,-0.32
2025-07-17 02:00:00,2025-07-17 13:00:00,12,3.149,-0.334
2025-07-22 04:00:00,2025-07-22 17:00:00,13,4.927,-0.299
2025-07-25 01:00:00,2025-07-25 13:00:00,13,4.006,-0.389
2025-08-02 21:00:00,2025-08-03 09:00:00,13,3.162,-0.274
2025-08-10 00:00:00,2025-08-10 09:00:00,10,9.817,-1.189
