start,end,n_hours,drop_mm,slope_median
2025-06-22 02:00:00,2025-06-22 10:00:00,9,8.208,-0.88
2025-07-06 02:00:00,2025-07-06 13:00:00,12,3.15,-0.33
2025-07-22 07:00:00,2025-07-22 20:00:00,13,3.878,-0.319
2025-08-14 14:00:00,2025-08-14 19:00:00,6,7.227,-1.438
2025-08-16 08:00:00,2025-08-16 15:00:00,8,5.052,-0.868
