start,end,n_hours,drop_mm,slope_median
2025-06-15 20:00:00,2025-06-16 06:00:00,11,10.617,-0.51
2025-07-07 10:00:00,2025-07-08 00:00:00,14,7.281,-0.64
2025-07-26 00:00:00,2025-07-26 19:00:00,20,5.971,-0.299
2025-07-31 11:00:00,2025-07-31 22:00:00,12,3.862,-0.426
2025-08-23 03:00:00,2025-08-23 14:00:00,12,3.632,-0.285
