start,end,n_hours,drop_mm,slope_median
2025-06-26 09:00:00,2025-06-26 18:00:00,10,5.631,-0.827
2025-06-27 06:00:00,2025-06-27 13:00:00,8,3.25,-0.89
2025-07-19 08:00:00,2025-07-19 19:00:00,12,5.8,-0.523
