start,end,n_hours,drop_mm,slope_median
2025-06-17 09:00:00,2025-06-17 21:00:00,13,4.329,-0.352
2025-07-01 09:00:00,2025-07-01 22:00:00,13,3.958,-0.372
2025-08-17 06:00:00,2025-08-17 18:00:00,13,3.46,-0.243
