start,end,n_hours,drop_mm,slope_median
2025-06-17 09:00:00,2025-06-17 15:00:00,7,3.793,-0.771
2025-07-01 04:00:00,2025-07-01 18:00:00,14,7.32,-0.595
2025-08-31 14:00:00,2025-09-01 05:00:00,16,7.79,-0.453
2025-09-02 02:00:00,2025-09-03 00:00:00,23,8.907,-0.443
2025-09-08 17:00:00,2025-09-08 23:00:00,7,5.047,-0.31
