start,end,n_hours,drop_mm,slope_median
2025-06-16 08:00:00,2025-06-16 22:00:00,15,6.507,-0.542
2025-06-18 17:00:00,2025-06-19 12:00:00,17,4.66,-0.314
2025-07-07 13:00:00,2025-07-08 10:00:00,22,9.705,-0.472
2025-07-26 01:00:00,2025-07-26 10:00:00,9,4.51,-0.512
2025-07-31 11:00:00,2025-07-31 17:00:00,7,4.4,-0.742
2025-08-13 01:00:00,2025-08-13 10:00:00,10,4.381,-0.456
2025-08-30 23:00:00,2025-08-31 19:00:00,20,10.97,-0.44
2025-09-06 10:00:00,2025-09-06 23:00:00,14,5.96,-0.58
2025-09-08 17:00:00,2025-09-09 12:00:00,20,5.311,-0.299
2025-09-10 16:00:00,2025-09-11 03:00:00,12,3.758,-0.375
2025-09-11 13:00:00,2025-09-13 04:00:00,37,18.08,-0.442
