start,end,n_hours,slope_h,drop_mm,is_drain
2025-06-15 00:00:00,2025-06-16 06:00:00,30,-0.02694809482561281,1.093,False
2025-06-16 07:00:00,2025-06-16 21:00:00,15,-0.06327857142885322,1.14,False
2025-06-16 22:00:00,2025-06-17 07:00:00,10,0.12100000001557064,-4.086,False
2025-06-17 08:00:00,2025-06-19 09:00:00,30,-0.012007956935139572,0.8780000000000001,False
2025-06-19 10:00:00,2025-06-20 05:00:00,20,-0.07763684210551941,1.58,False
2025-06-20 06:00:00,2025-06-21 08:00:00,25,0.0358526284212035,-1.0,False
2025-06-21 09:00:00,2025-06-22 09:00:00,25,-0.01645307692266951,-0.5749999999999997,False
2025-06-22 10:00:00,2025-06-25 04:00:00,65,-0.005669980577594191,0.45999999999999996,False
2025-06-25 05:00:00,2025-06-28 03:00:00,70,-0.006851727327387619,-3.807,False
2025-06-28 04:00:00,2025-06-28 13:00:00,10,-0.17920606060061303,0.9329999999999998,True
2025-06-28 14:00:00,2025-06-30 01:00:00,35,-0.045579983618467115,1.4329999999999998,False
2025-06-30 02:00:00,2025-06-30 11:00:00,10,-0.29679393940883575,1.5499999999999998,True
2025-06-30 12:00:00,2025-06-30 22:00:00,10,-0.0028545454555150744,-0.3510000000000004,False
2025-06-30 23:00:00,2025-07-01 03:00:00,5,-0.7419999999971973,2.4370000000000003,False
2025-07-01 04:00:00,2025-07-03 11:00:00,40,-0.014240918918911112,1.4329999999999998,False
2025-07-03 12:00:00,2025-07-05 23:00:00,60,-0.015468908029994679,-1.2250000000000005,False
2025-07-06 00:00:00,2025-07-06 19:00:00,20,-0.09468421052731879,1.8299999999999992,False
2025-07-06 20:00:00,2025-07-10 22:00:00,95,-0.0019987564752830538,-0.23299999999999965,False
2025-07-10 23:00:00,2025-07-12 00:00:00,25,-0.06084050282606338,0.734,False
2025-07-12 01:00:00,2025-07-12 10:00:00,10,-0.07750303030328838,1.1310000000000002,False
2025-07-12 11:00:00,2025-07-13 21:00:00,35,-0.02309383753501736,1.1680000000000001,False
2025-07-13 22:00:00,2025-07-15 08:00:00,35,-0.03526190476330968,-1.867,False
2025-07-15 09:00:00,2025-07-17 15:00:00,55,-0.007789610389609106,0.7760000000000002,False
2025-07-17 16:00:00,2025-07-18 21:00:00,30,-0.025874972191302352,0.7560000000000002,False
2025-07-18 22:00:00,2025-07-19 12:00:00,15,-0.08752142857225166,1.5890000000000004,False
2025-07-19 13:00:00,2025-07-20 23:00:00,33,-0.042365320472354875,1.7469999999999999,False
