start,end,n_hours,slope_h,drop_mm,is_drain
2025-06-15 12:00:00,2025-06-16 02:00:00,15,0.12693928571201762,-4.9399999999999995,False
2025-06-16 03:00:00,2025-06-16 12:00:00,10,-0.154890909087995,2.0869999999999997,False
2025-06-16 13:00:00,2025-06-17 14:00:00,25,-0.02874453941119879,1.2469999999999999,False
2025-06-18 08:00:00,2025-06-21 04:00:00,65,-0.004990787880677721,0.37900000000000045,False
2025-06-21 05:00:00,2025-06-21 14:00:00,10,0.2723575757698925,-2.640999999999999,False
2025-06-21 15:00:00,2025-06-23 01:00:00,35,0.021108963585438418,-0.9740000000000002,False
2025-06-23 02:00:00,2025-06-23 06:00:00,5,-0.44930000000185505,1.8059999999999992,False
2025-06-23 07:00:00,2025-06-24 13:00:00,30,-0.02495306373782569,0.7869999999999999,False
2025-06-24 14:00:00,2025-06-26 06:00:00,40,-0.027638714064006583,0.875,False
2025-06-26 07:00:00,2025-06-26 11:00:00,5,1.4833000001053502,-5.8389999999999995,False
2025-06-26 12:00:00,2025-06-27 03:00:00,15,-0.0825450652524674,0.5589999999999993,False
2025-06-27 04:00:00,2025-06-28 10:00:00,30,-0.03272047685848999,0.6019999999999985,False
2025-06-28 11:00:00,2025-06-29 17:00:00,30,-0.027077355735103326,1.1630000000000003,False
2025-06-29 18:00:00,2025-07-01 06:00:00,35,-0.040656549099152825,1.5190000000000001,False
2025-07-01 07:00:00,2025-07-03 11:00:00,35,-0.016683292149915475,1.287,False
2025-07-03 12:00:00,2025-07-05 00:00:00,35,-0.04784538635215504,1.0629999999999997,False
2025-07-05 01:00:00,2025-07-07 07:00:00,55,-0.021326406926427073,-0.2860000000000005,False
2025-07-07 08:00:00,2025-07-08 23:00:00,40,-0.03229090056281296,1.375,False
2025-07-09 00:00:00,2025-07-09 04:00:00,5,-0.3380999999994799,1.3329999999999997,False
2025-07-09 05:00:00,2025-07-09 09:00:00,5,-0.5116999999995698,2.125,False
2025-07-09 10:00:00,2025-07-14 04:00:00,115,-0.0014331176516988711,0.10599999999999998,False
2025-07-14 05:00:00,2025-07-14 09:00:00,5,1.0811999999446802,-3.5719999999999996,False
2025-07-14 10:00:00,2025-07-15 01:00:00,15,0.06457399999949971,-3.3790000000000004,False
2025-07-15 02:00:00,2025-07-17 18:00:00,65,0.014662762237742448,0.43799999999999883,False
2025-07-17 19:00:00,2025-07-20 12:00:00,31,-0.014519098632635726,1.1000000000000005,False
