Model,Class,Precision,Recall,F1,Support,Accuracy
CalibratedRF,normal,0.9929701230228472,0.9912280701754386,0.9920983318700615,3420,0.9845094664371773
CalibratedRF,anomaly,0.6470588235294118,0.7021276595744681,0.673469387755102,47,0.9845094664371773
CalibratedRF,drain,0.42857142857142855,0.47368421052631576,0.45,19,0.9845094664371773
