device,manual_periods,algo_count,tp,fp,fn,precision,recall,f1_score,miss_rate,false_positive_rate,match_strategy,strategy
157B025030068,6,4,4,0,2,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0,overlap,时间重叠
157B025030076,3,2,2,0,1,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0,overlap,时间重叠
157B025030077,4,4,4,0,0,1.0,1.0,1.0,0.0,0.0,overlap,时间重叠
157B025030079,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,overlap,时间重叠
157B025030085,2,2,1,1,1,0.5,0.5,0.5,0.5,0.5,overlap,时间重叠
157B025030087,22,15,13,2,9,0.8666666666666667,0.5909090909090909,0.7027027027027029,0.4090909090909091,0.13333333333333333,overlap,时间重叠
157B025030091,3,3,3,0,0,1.0,1.0,1.0,0.0,0.0,overlap,时间重叠
157B025030093,1,2,1,1,0,0.5,1.0,0.6666666666666666,0.0,0.5,overlap,时间重叠
157B025010006,3,2,2,0,1,1.0,0.6666666666666666,0.8,0.3333333333333333,0.0,iou,IoU≥0.5
157B025010017,6,3,1,2,5,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.8333333333333334,0.6666666666666666,iou,IoU≥0.5
157B025010025,3,2,0,2,3,0.0,0.0,0.0,1.0,1.0,iou,IoU≥0.5
157B025010028,8,6,2,4,6,0.3333333333333333,0.25,0.28571428571428575,0.75,0.6666666666666666,iou,IoU≥0.5
157B025010050,11,7,2,5,9,0.2857142857142857,0.18181818181818182,0.2222222222222222,0.8181818181818182,0.7142857142857143,iou,IoU≥0.5
157B025010054,3,3,0,3,3,0.0,0.0,0.0,1.0,1.0,iou,IoU≥0.5
157B025030003,5,6,2,4,3,0.3333333333333333,0.4,0.3636363636363636,0.6,0.6666666666666666,iou,IoU≥0.5
157B025030005,3,3,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,iou,IoU≥0.5
157B025030008,7,4,0,4,7,0.0,0.0,0.0,1.0,1.0,iou,IoU≥0.5
157B025030009,4,6,1,5,3,0.16666666666666666,0.25,0.2,0.75,0.8333333333333334,iou,IoU≥0.5
157B025030014,7,5,3,2,4,0.6,0.42857142857142855,0.5,0.5714285714285714,0.4,iou,IoU≥0.5
157B025030023,9,7,2,5,7,0.2857142857142857,0.2222222222222222,0.25,0.7777777777777778,0.7142857142857143,iou,IoU≥0.5
157B025030025,1,1,0,1,1,0.0,0.0,0.0,1.0,1.0,iou,IoU≥0.5
157B025030026,3,5,1,4,2,0.2,0.3333333333333333,0.25,0.6666666666666666,0.8,iou,IoU≥0.5
157B025030027,2,2,2,0,0,1.0,1.0,1.0,0.0,0.0,iou,IoU≥0.5
157B025030029,4,4,1,3,3,0.25,0.25,0.25,0.75,0.75,iou,IoU≥0.5
157B025030031,2,2,1,1,1,0.5,0.5,0.5,0.5,0.5,iou,IoU≥0.5
157B025030032,12,10,5,5,7,0.5,0.4166666666666667,0.45454545454545453,0.5833333333333334,0.5,iou,IoU≥0.5
157B025030033,4,4,2,2,2,0.5,0.5,0.5,0.5,0.5,iou,IoU≥0.5
