threshold,precision,recall,f1
0.0,0.005450372920252439,1.0,0.010841654778887305
0.01,0.045454545454545456,0.5789473684210527,0.0842911877394636
0.02,0.08029197080291971,0.5789473684210527,0.14102564102564102
0.03,0.13580246913580246,0.5789473684210527,0.22
0.04,0.18867924528301888,0.5263157894736842,0.2777777777777778
0.05,0.19230769230769232,0.5263157894736842,0.28169014084507044
0.06,0.2127659574468085,0.5263157894736842,0.30303030303030304
0.07,0.2222222222222222,0.5263157894736842,0.3125
0.08,0.22727272727272727,0.5263157894736842,0.31746031746031744
0.09,0.2564102564102564,0.5263157894736842,0.3448275862068966
0.1,0.2777777777777778,0.5263157894736842,0.36363636363636365
0.11,0.2777777777777778,0.5263157894736842,0.36363636363636365
0.12,0.2777777777777778,0.5263157894736842,0.36363636363636365
0.13,0.2857142857142857,0.5263157894736842,0.37037037037037035
0.14,0.3,0.47368421052631576,0.3673469387755102
0.15,0.3,0.47368421052631576,0.3673469387755102
0.16,0.3,0.47368421052631576,0.3673469387755102
0.17,0.3,0.47368421052631576,0.3673469387755102
0.18,0.3,0.47368421052631576,0.3673469387755102
0.19,0.3,0.47368421052631576,0.3673469387755102
0.2,0.3,0.47368421052631576,0.3673469387755102
0.21,0.3,0.47368421052631576,0.3673469387755102
0.22,0.3,0.47368421052631576,0.3673469387755102
0.23,0.3103448275862069,0.47368421052631576,0.375
0.24,0.3103448275862069,0.47368421052631576,0.375
0.25,0.3103448275862069,0.47368421052631576,0.375
0.26,0.3103448275862069,0.47368421052631576,0.375
0.27,0.32142857142857145,0.47368421052631576,0.3829787234042553
0.28,0.32142857142857145,0.47368421052631576,0.3829787234042553
0.29,0.32142857142857145,0.47368421052631576,0.3829787234042553
0.3,0.3333333333333333,0.47368421052631576,0.391304347826087
0.31,0.3333333333333333,0.47368421052631576,0.391304347826087
0.32,0.3333333333333333,0.47368421052631576,0.391304347826087
0.33,0.3333333333333333,0.47368421052631576,0.391304347826087
0.34,0.391304347826087,0.47368421052631576,0.42857142857142855
0.35000000000000003,0.391304347826087,0.47368421052631576,0.42857142857142855
0.36,0.42857142857142855,0.47368421052631576,0.45
0.37,0.5,0.21052631578947367,0.2962962962962963
0.38,0.5,0.21052631578947367,0.2962962962962963
0.39,0.5714285714285714,0.21052631578947367,0.3076923076923077
0.4,0.5714285714285714,0.21052631578947367,0.3076923076923077
0.41000000000000003,0.5,0.15789473684210525,0.24
0.42,0.5,0.15789473684210525,0.24
0.43,0.5,0.15789473684210525,0.24
0.44,0.6,0.15789473684210525,0.25
0.45,0.6,0.15789473684210525,0.25
0.46,0.6,0.15789473684210525,0.25
0.47000000000000003,0.75,0.15789473684210525,0.2608695652173913
0.48,0.75,0.15789473684210525,0.2608695652173913
0.49,0.75,0.15789473684210525,0.2608695652173913
0.5,0.75,0.15789473684210525,0.2608695652173913
0.51,0.75,0.15789473684210525,0.2608695652173913
0.52,0.75,0.15789473684210525,0.2608695652173913
0.53,0.75,0.15789473684210525,0.2608695652173913
0.54,0.75,0.15789473684210525,0.2608695652173913
0.55,0.75,0.15789473684210525,0.2608695652173913
0.56,0.75,0.15789473684210525,0.2608695652173913
0.5700000000000001,0.75,0.15789473684210525,0.2608695652173913
0.58,0.75,0.15789473684210525,0.2608695652173913
0.59,0.75,0.15789473684210525,0.2608695652173913
0.6,0.75,0.15789473684210525,0.2608695652173913
0.61,0.75,0.15789473684210525,0.2608695652173913
0.62,0.75,0.15789473684210525,0.2608695652173913
0.63,0.75,0.15789473684210525,0.2608695652173913
0.64,0.75,0.15789473684210525,0.2608695652173913
0.65,0.75,0.15789473684210525,0.2608695652173913
0.66,0.75,0.15789473684210525,0.2608695652173913
0.67,0.75,0.15789473684210525,0.2608695652173913
0.68,0.75,0.15789473684210525,0.2608695652173913
0.6900000000000001,0.75,0.15789473684210525,0.2608695652173913
0.7000000000000001,0.75,0.15789473684210525,0.2608695652173913
0.71,0.75,0.15789473684210525,0.2608695652173913
0.72,0.75,0.15789473684210525,0.2608695652173913
0.73,0.75,0.15789473684210525,0.2608695652173913
0.74,0.75,0.15789473684210525,0.2608695652173913
0.75,0.75,0.15789473684210525,0.2608695652173913
0.76,0.75,0.15789473684210525,0.2608695652173913
0.77,0.75,0.15789473684210525,0.2608695652173913
0.78,0.75,0.15789473684210525,0.2608695652173913
0.79,0.75,0.15789473684210525,0.2608695652173913
0.8,0.75,0.15789473684210525,0.2608695652173913
0.81,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0
0.84,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.91,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.93,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
1.0,0.0,0.0,0.0
