code,algo_start,algo_end,manual_start,manual_end,level_start_mm,level_at_12h_mm,delta_12h_mm,duration_hours,drain_rate_mm_per_hour
157B025030044,2025-06-30 08:00:00,2025-06-30 14:00:00,2025-06-30 06:00:00,2025-06-30 16:00:00,10.469,7.953,-2.515999999999999,6.0,0.20966666666666658
157B025030044,2025-07-04 07:00:00,2025-07-04 11:00:00,2025-07-04 06:00:00,2025-07-04 19:00:00,10.038,7.5,-2.5380000000000003,4.0,0.21150000000000002
157B025030044,2025-07-14 07:00:00,2025-07-14 11:00:00,2025-07-14 06:00:00,2025-07-14 20:00:00,6.235,3.04,-3.1950000000000003,4.0,0.26625000000000004
157B025030044,2025-07-31 06:00:00,2025-07-31 14:00:00,2025-07-31 06:00:00,2025-07-31 17:00:00,10.681,4.104,-6.576999999999999,8.0,0.5480833333333333
157B025030044,2025-08-07 07:00:00,2025-08-07 11:00:00,2025-08-07 07:00:00,2025-08-07 15:00:00,12.616,4.022,-8.594,4.0,0.7161666666666666
157B025030044,2025-08-29 06:00:00,2025-08-29 12:00:00,2025-08-29 06:00:00,2025-08-29 19:00:00,8.814,4.413,-4.401,6.0,0.36674999999999996
157B025030023,2025-07-17 00:00:00,2025-07-17 04:00:00,2025-07-16 20:00:00,2025-07-17 10:00:00,9.113,5.331,-3.781999999999999,4.0,0.3151666666666666
157B025030023,2025-08-13 07:00:00,2025-08-13 13:00:00,2025-08-13 07:00:00,2025-08-13 22:00:00,10.42,3.893,-6.527,6.0,0.5439166666666667
157B025030023,2025-08-14 13:00:00,2025-08-14 21:00:00,2025-08-14 12:00:00,2025-08-14 21:00:00,16.762,7.838,-8.924,8.0,0.7436666666666666
157B025030023,2025-08-15 00:00:00,2025-08-15 05:00:00,2025-08-15 00:00:00,2025-08-15 07:00:00,8.688,2.55,-6.138000000000001,5.0,0.5115000000000001
157B025030023,2025-08-20 00:00:00,2025-08-20 03:00:00,2025-08-19 22:00:00,2025-08-20 10:00:00,7.7,5.074,-2.6260000000000003,3.0,0.21883333333333335
157B025030023,2025-09-11 17:00:00,2025-09-12 00:00:00,2025-09-11 16:00:00,2025-09-12 08:00:00,5.293,1.775,-3.518,7.0,0.29316666666666663
157B025030023,2025-09-15 17:00:00,2025-09-15 22:00:00,2025-09-15 16:00:00,2025-09-16 10:00:00,5.6,1.875,-3.725,5.0,0.3104166666666667
157B025030068,2025-07-01 02:00:00,2025-07-01 11:00:00,2025-07-01 01:00:00,2025-07-01 22:00:00,14.962,6.14,-8.822,9.0,0.7351666666666666
157B025030068,2025-07-31 10:00:00,2025-07-31 12:00:00,2025-07-31 07:00:00,2025-07-31 23:00:00,19.489,16.379,-3.1099999999999994,2.0,0.2591666666666666
157B025030068,2025-08-31 11:00:00,2025-09-01 00:00:00,2025-08-31 10:00:00,2025-09-01 00:00:00,13.04,4.667,-8.373,13.0,0.69775
157B025030068,2025-09-14 11:00:00,2025-09-14 17:00:00,2025-09-14 11:00:00,2025-09-14 23:00:00,5.362,1.807,-3.555,6.0,0.29625
157B025010006,2025-08-28 07:00:00,2025-08-28 13:00:00,2025-08-28 05:00:00,2025-08-28 15:00:00,11.002,5.962,-5.040000000000001,6.0,0.4200000000000001
157B025010006,2025-08-29 06:00:00,2025-08-29 10:00:00,2025-08-29 03:00:00,2025-08-29 10:00:00,8.975,4.921,-4.053999999999999,4.0,0.33783333333333326
157B025030008,2025-06-18 14:00:00,2025-06-18 20:00:00,2025-06-18 09:00:00,2025-06-18 22:00:00,5.244,2.406,-2.838,6.0,0.23650000000000002
157B025030008,2025-07-11 22:00:00,2025-07-12 07:00:00,2025-07-11 20:00:00,2025-07-12 17:00:00,9.712,1.762,-7.949999999999999,9.0,0.6625
157B025030008,2025-07-20 14:00:00,2025-07-20 18:00:00,2025-07-20 10:00:00,2025-07-20 20:00:00,3.527,0.86,-2.6670000000000003,4.0,0.22225000000000003
157B025030027,2025-08-09 23:00:00,2025-08-10 08:00:00,2025-08-09 20:00:00,2025-08-10 08:00:00,13.281,2.464,-10.817,9.0,0.9014166666666666
157B025030027,2025-09-03 21:00:00,2025-09-04 04:00:00,2025-09-03 18:00:00,2025-09-04 07:00:00,9.269,1.431,-7.838,7.0,0.6531666666666667
157B025010050,2025-07-07 09:00:00,2025-07-07 20:00:00,2025-07-07 07:00:00,2025-07-07 22:00:00,17.4,9.1,-8.299999999999999,11.0,0.6916666666666665
157B025010050,2025-07-08 08:00:00,2025-07-08 15:00:00,2025-07-08 08:00:00,2025-07-09 03:00:00,11.775,4.738,-7.037,7.0,0.5864166666666667
157B025010050,2025-08-01 21:00:00,2025-08-02 03:00:00,2025-08-01 21:00:00,2025-08-02 05:00:00,5.6,1.038,-4.561999999999999,6.0,0.3801666666666666
157B025010050,2025-08-03 14:00:00,2025-08-03 18:00:00,2025-08-03 10:00:00,2025-08-04 00:00:00,20.175,16.967,-3.208000000000002,4.0,0.2673333333333335
157B025010050,2025-09-02 07:00:00,2025-09-02 12:00:00,2025-09-02 07:00:00,2025-09-02 20:00:00,14.0,1.42,-12.58,5.0,1.0483333333333333
157B025010050,2025-09-11 13:00:00,2025-09-11 17:00:00,2025-09-11 06:00:00,2025-09-11 20:00:00,13.317,8.113,-5.204000000000001,4.0,0.4336666666666667
157B025010050,2025-09-15 23:00:00,2025-09-16 06:00:00,2025-09-15 17:00:00,2025-09-16 09:00:00,4.0875,0.5,-3.5875000000000004,7.0,0.2989583333333334
157B025030003,2025-07-23 08:00:00,2025-07-23 13:00:00,2025-07-23 07:00:00,2025-07-23 17:00:00,4.2,0.8,-3.4000000000000004,5.0,0.2833333333333334
157B025030003,2025-08-15 20:00:00,2025-08-15 22:00:00,2025-08-15 19:00:00,2025-08-16 04:00:00,2.5,0.0,-2.5,2.0,0.20833333333333334
157B025030003,2025-08-23 08:00:00,2025-08-23 12:00:00,2025-08-23 07:00:00,2025-08-23 15:00:00,4.753,1.0,-3.753,4.0,0.31275000000000003
157B025030003,2025-08-24 09:00:00,2025-08-24 11:00:00,2025-08-24 08:00:00,2025-08-24 17:00:00,4.093,0.927,-3.166,2.0,0.2638333333333333
157B025030003,2025-08-27 09:00:00,2025-08-27 12:00:00,2025-08-27 07:00:00,2025-08-27 17:00:00,4.933,0.927,-4.006,3.0,0.33383333333333337
157B025030085,2025-06-22 00:00:00,2025-06-22 07:00:00,2025-06-22 00:00:00,2025-06-22 13:00:00,12.0,1.4,-10.6,7.0,0.8833333333333333
157B025030037,2025-09-12 00:00:00,2025-09-12 03:00:00,2025-09-11 22:00:00,2025-09-12 14:00:00,3.659,0.695,-2.964,3.0,0.247
