farmName,sectionName,msgTimeStr,farmID,sectionID,liquidLevelValue,msgTime,is_outlier,liquidLevel_clean
中联峨桥智慧农业示范基地,009,1749957730000,47035753446400,65935709358180,12.6,2025-06-15 03:22:10,False,12.6
中联峨桥智慧农业示范基地,009,1749957735000,47035753446400,65935709358180,12.7,2025-06-15 03:22:15,False,12.7
中联峨桥智慧农业示范基地,009,1749957740000,47035753446400,65935709358180,12.7,2025-06-15 03:22:20,False,12.7
中联峨桥智慧农业示范基地,009,1749957742000,47035753446400,65935709358180,12.7,2025-06-15 03:22:22,False,12.7
中联峨桥智慧农业示范基地,009,1749957769000,47035753446400,65935709358180,12.7,2025-06-15 03:22:49,False,12.7
中联峨桥智慧农业示范基地,009,1749957829000,47035753446400,65935709358180,12.7,2025-06-15 03:23:49,False,12.7
中联峨桥智慧农业示范基地,009,1749957889000,47035753446400,65935709358180,12.7,2025-06-15 03:24:49,False,12.7
中联峨桥智慧农业示范基地,009,1749957949000,47035753446400,65935709358180,12.7,2025-06-15 03:25:49,False,12.7
中联峨桥智慧农业示范基地,009,1749958009000,47035753446400,65935709358180,12.7,2025-06-15 03:26:49,False,12.7
中联峨桥智慧农业示范基地,009,1749961731000,47035753446400,65935709358180,12.7,2025-06-15 04:28:51,False,12.7
中联峨桥智慧农业示范基地,009,1749961733000,47035753446400,65935709358180,12.7,2025-06-15 04:28:53,False,12.7
中联峨桥智慧农业示范基地,009,1749961735000,47035753446400,65935709358180,12.7,2025-06-15 04:28:55,False,12.7
中联峨桥智慧农业示范基地,009,1749961738000,47035753446400,65935709358180,12.7,2025-06-15 04:28:58,False,12.7
中联峨桥智慧农业示范基地,009,1749961744000,47035753446400,65935709358180,12.7,2025-06-15 04:29:04,False,12.7
中联峨桥智慧农业示范基地,009,1749961749000,47035753446400,65935709358180,12.7,2025-06-15 04:29:09,False,12.7
中联峨桥智慧农业示范基地,009,1749961751000,47035753446400,65935709358180,12.6,2025-06-15 04:29:11,False,12.6
中联峨桥智慧农业示范基地,009,1749961755000,47035753446400,65935709358180,12.7,2025-06-15 04:29:15,False,12.7
中联峨桥智慧农业示范基地,009,1749961760000,47035753446400,65935709358180,12.5,2025-06-15 04:29:20,False,12.5
中联峨桥智慧农业示范基地,009,1749961762000,47035753446400,65935709358180,12.5,2025-06-15 04:29:22,False,12.5
中联峨桥智慧农业示范基地,009,1749961765000,47035753446400,65935709358180,12.7,2025-06-15 04:29:25,False,12.7
中联峨桥智慧农业示范基地,009,1749961823000,47035753446400,65935709358180,12.7,2025-06-15 04:30:23,False,12.7
中联峨桥智慧农业示范基地,009,1749961883000,47035753446400,65935709358180,12.7,2025-06-15 04:31:23,False,12.7
中联峨桥智慧农业示范基地,009,1749961943000,47035753446400,65935709358180,12.7,2025-06-15 04:32:23,False,12.7
中联峨桥智慧农业示范基地,009,1749962003000,47035753446400,65935709358180,12.7,2025-06-15 04:33:23,False,12.7
中联峨桥智慧农业示范基地,009,1749965757000,47035753446400,65935709358180,13.3,2025-06-15 05:35:57,False,13.3
中联峨桥智慧农业示范基地,009,1749965759000,47035753446400,65935709358180,13.2,2025-06-15 05:35:59,False,13.2
中联峨桥智慧农业示范基地,009,1749965761000,47035753446400,65935709358180,13.1,2025-06-15 05:36:01,False,13.1
中联峨桥智慧农业示范基地,009,1749965765000,47035753446400,65935709358180,12.9,2025-06-15 05:36:05,False,12.9
中联峨桥智慧农业示范基地,009,1749965770000,47035753446400,65935709358180,12.9,2025-06-15 05:36:10,False,12.9
中联峨桥智慧农业示范基地,009,1749965776000,47035753446400,65935709358180,12.6,2025-06-15 05:36:16,False,12.6
中联峨桥智慧农业示范基地,009,1749965778000,47035753446400,65935709358180,12.9,2025-06-15 05:36:18,False,12.9
中联峨桥智慧农业示范基地,009,1749965781000,47035753446400,65935709358180,12.9,2025-06-15 05:36:21,False,12.9
中联峨桥智慧农业示范基地,009,1749965787000,47035753446400,65935709358180,12.9,2025-06-15 05:36:27,False,12.9
中联峨桥智慧农业示范基地,009,1749965791000,47035753446400,65935709358180,12.6,2025-06-15 05:36:31,False,12.6
中联峨桥智慧农业示范基地,009,1749965820000,47035753446400,65935709358180,12.6,2025-06-15 05:37:00,False,12.6
中联峨桥智慧农业示范基地,009,1749965880000,47035753446400,65935709358180,12.6,2025-06-15 05:38:00,False,12.6
中联峨桥智慧农业示范基地,009,1749965940000,47035753446400,65935709358180,12.6,2025-06-15 05:39:00,False,12.6
中联峨桥智慧农业示范基地,009,1749966001000,47035753446400,65935709358180,12.6,2025-06-15 05:40:01,False,12.6
中联峨桥智慧农业示范基地,009,1749966061000,47035753446400,65935709358180,12.6,2025-06-15 05:41:01,False,12.6
中联峨桥智慧农业示范基地,009,1749969780000,47035753446400,65935709358180,11.6,2025-06-15 06:43:00,False,11.6
中联峨桥智慧农业示范基地,009,1749969783000,47035753446400,65935709358180,11.8,2025-06-15 06:43:03,False,11.8
中联峨桥智慧农业示范基地,009,1749969785000,47035753446400,65935709358180,12.2,2025-06-15 06:43:05,False,12.2
中联峨桥智慧农业示范基地,009,1749969788000,47035753446400,65935709358180,12.2,2025-06-15 06:43:08,False,12.2
中联峨桥智慧农业示范基地,009,1749969794000,47035753446400,65935709358180,12.3,2025-06-15 06:43:14,False,12.3
中联峨桥智慧农业示范基地,009,1749969799000,47035753446400,65935709358180,12.2,2025-06-15 06:43:19,False,12.2
中联峨桥智慧农业示范基地,009,1749969801000,47035753446400,65935709358180,12.2,2025-06-15 06:43:21,False,12.2
中联峨桥智慧农业示范基地,009,1749969804000,47035753446400,65935709358180,12.3,2025-06-15 06:43:24,False,12.3
中联峨桥智慧农业示范基地,009,1749969810000,47035753446400,65935709358180,12.4,2025-06-15 06:43:30,False,12.4
中联峨桥智慧农业示范基地,009,1749969812000,47035753446400,65935709358180,12.4,2025-06-15 06:43:32,False,12.4
中联峨桥智慧农业示范基地,009,1749969815000,47035753446400,65935709358180,12.5,2025-06-15 06:43:35,False,12.5
中联峨桥智慧农业示范基地,009,1749969872000,47035753446400,65935709358180,12.5,2025-06-15 06:44:32,False,12.5
中联峨桥智慧农业示范基地,009,1749969932000,47035753446400,65935709358180,12.5,2025-06-15 06:45:32,False,12.5
中联峨桥智慧农业示范基地,009,1749969993000,47035753446400,65935709358180,12.5,2025-06-15 06:46:33,False,12.5
中联峨桥智慧农业示范基地,009,1749970053000,47035753446400,65935709358180,12.5,2025-06-15 06:47:33,False,12.5
中联峨桥智慧农业示范基地,009,1749973808000,47035753446400,65935709358180,12.4,2025-06-15 07:50:08,False,12.4
中联峨桥智慧农业示范基地,009,1749973811000,47035753446400,65935709358180,12.4,2025-06-15 07:50:11,False,12.4
中联峨桥智慧农业示范基地,009,1749973813000,47035753446400,65935709358180,12.4,2025-06-15 07:50:13,False,12.4
中联峨桥智慧农业示范基地,009,1749973816000,47035753446400,65935709358180,12.4,2025-06-15 07:50:16,False,12.4
中联峨桥智慧农业示范基地,009,1749973822000,47035753446400,65935709358180,12.4,2025-06-15 07:50:22,False,12.4
中联峨桥智慧农业示范基地,009,1749973827000,47035753446400,65935709358180,12.4,2025-06-15 07:50:27,False,12.4
中联峨桥智慧农业示范基地,009,1749973829000,47035753446400,65935709358180,12.4,2025-06-15 07:50:29,False,12.4
中联峨桥智慧农业示范基地,009,1749973833000,47035753446400,65935709358180,12.4,2025-06-15 07:50:33,False,12.4
中联峨桥智慧农业示范基地,009,1749973838000,47035753446400,65935709358180,12.5,2025-06-15 07:50:38,False,12.5
中联峨桥智慧农业示范基地,009,1749973843000,47035753446400,65935709358180,12.5,2025-06-15 07:50:43,False,12.5
中联峨桥智慧农业示范基地,009,1749973872000,47035753446400,65935709358180,12.5,2025-06-15 07:51:12,False,12.5
中联峨桥智慧农业示范基地,009,1749973932000,47035753446400,65935709358180,12.5,2025-06-15 07:52:12,False,12.5
中联峨桥智慧农业示范基地,009,1749973992000,47035753446400,65935709358180,12.5,2025-06-15 07:53:12,False,12.5
