model,mean_pr_auc_leak,mean_f1_at_best_thr,mean_best_thr
ExtraTrees,0.44583406894108596,0.4980238563674317,0.27999999999999997
RandomForest,0.431599950856058,0.49257040127724094,0.27999999999999997
LogReg,0.19003611358572337,0.29041443450270754,0.13
